"vehicle_id","product_id","id","name","code","user_id","status","created_at","updated_at","deleted_at","updated_by","deleted_by","product_id","taxable","capacity","company_id","is_all_drivers","product_type","is_all_products","is_all_restricted_products","pan1a","pan2a","pan3a","last_known_odometer","last_timestamp_odometer","last_timestamp_transaction","tag_str_1","tag_str_2","tag_str_3","tag_str_4","tag_str_5","tag_str_6","inventory_unit"
27046,418,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,419,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,420,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,421,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,422,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,423,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,424,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,425,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,426,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,427,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,428,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,429,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,430,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,431,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,432,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,433,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,434,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,435,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,436,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,437,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,438,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,439,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
